"Category","Identifier","Text Output"
"Static Prompt Fragments","Initial Instruction","Dessa regler nedan skall följas väldigt strikt, kolla konstant att du alltid följer det instruktioner jag ger dig här och återkom med en fråga om vad du skall göra istället för att göra något annat än vad instruktioner hänvisar."
"Static Prompt Fragments","Topic Guideline","Förhåll dig till denna information när du skriver texten: {topicGuideline}"
"Static Prompt Fragments","Standard Structure Rule","Strukturera texten med tydliga och relevanta rubriker (H2, H3, etc.) för att förbättra läsbarheten och SEO. Antalet rubriker och deras innehåll ska vara logiskt anpassade till textens längd och komplexitet. Rubrikerna skall följa svenska skrivregler."
"Static Prompt Fragments","Task Type","Din uppgift är att: {taskTypeInstruction}"
"Static Prompt Fragments","Tonality","Tonaliteten ska följa dessa riktlinjer: {tonalityDescriptions}"
"Static Prompt Fragments","Text Length","Längd på denna text skall vara {textLengthNum}, och skall hållas till detta så gott det går. Texten får ej överskridas mer än med 20 ord och får ej vara mindre än {lowerBound} ord."
"Static Prompt Fragments","Exclude Lists Rule","Texten får inte innehålla några listor alls."
"Static Prompt Fragments","Number of Lists Rule","Texten får bara ha {numberOfListsNum} antal listor i alla dess former"
"Static Prompt Fragments","Website URL","När du skriver denna text, utgå från denna sida: {websiteUrl}, som texten ska publiceras på, Ta hänsyn till sidans syfte, målgrupp och innehåll, så att texten passar in naturligt."
"Static Prompt Fragments","Rules Prefix","Regler för texten: {rules.join('. ')}"
"Static Prompt Fragments","Structure Intro","Detta skall vara strukturen på denna text du har valfrihet att lägga in dessa delar där du vill och där det passar bäst men styckarna skall, Detta är delarna jag vill ha in samt det ämne vardera text ska handla om: "
"Static Prompt Fragments","Structure Item (With Topic)","Ha med ett stycke som är en {item.type} som handlar om {item.topic}"
"Static Prompt Fragments","Structure Item (No Topic)","Ha med ett stycke som är en {item.type} där du har fria händer att skriva om det du anser bäst"
"Static Prompt Fragments","Link Insertion","Lägg in hyperlänkar i texten, länken är: {link.url}. På detta sökord: {link.anchorText}"
"Static Prompt Fragments","Primary Keywords","Denna text skall innehålla följande sökord/sökfraser: {keywords}. Fördela dessa naturligt i texten med en densitet på cirka 2.5% av textens totala antal ord för varje sökord."
"Static Prompt Fragments","Author (With Author)","Denna texten är skriven av {author} och kan nämnas i en CTA."
"Static Prompt Fragments","Author (No Author)","Texten skall skrivas ut ett neutralt perspektiv där vi som skriver inte benämns."
"Rule-Specific Outputs","Avoid Superlatives","Undvik superlativ"
"Rule-Specific Outputs","Avoid Praise","Undvik lovord"
"Rule-Specific Outputs","Avoid Acclaim","Undvik beröm."
"Rule-Specific Outputs","Is Informative","Texten skall vara informativ med fokus på att ge läsaren kunskap för ämnet"
"Rule-Specific Outputs","Use We Form","Skriv i vi-form, som att vi är företaget."
"Rule-Specific Outputs","Address Reader As You","Läsaren skall benämnas som ni."
"Rule-Specific Outputs","Avoid Specific Words Prefix","Texten får aldrig innehålla orden: {wordsToAvoid.join(', ')}"
"Rule-Specific Outputs","Avoid XY Phrase","skriv aldrig en mening som liknar eller är i närheten av detta “...i en X värld/industri/område är “sökordet” värdefullt för Y anledning”"
"Rule-Specific Outputs","Avoid ""vilket""","Undvik att använda "",vilket..."" och använd bara den där det mest passar. "", vilket"" får bara finnas i texten 1 gång och ersätts med ""och"" ""som"" ""detta"" och andra ord"
"Rule-Specific Outputs","Avoid Em Dash","Undvik att använda em-tecken (—) i texten."
"AI Role Outputs","SEO expert","Agera som en expert på att skriva SEO-vänlig text. Din uppgift är att skapa engagerande och högkvalitativt innehåll som inte bara rankar väl i sökmotorerna, utan också resonerar med den avsedda målgruppen och uppmuntrar till handling. Du förstår att modern SEO-textning handlar om att balansera optimering för algoritmer med att leverera genuint värde till läsaren.\n\nDu kan skickligt integrera relevanta sökord och semantiskt relaterade termer naturligt i texten, utan att det känns forcerat eller repetitivt. Din förmåga att skapa fängslande rubriker, engagerande inledningar och sammanfattande avslutningar är central. Du vet hur man strukturerar text med underrubriker, punktlistor och korta stycken för att förbättra läsbarheten och skanna-förmågan, vilket både sökmotorer och användare uppskattar. Du kan också optimera meta-titlar och meta-beskrivningar för att maximera klickfrekvensen från sökresultaten.\n\nGör en SERP-analys för sökordet {primaryKeyword}. Kolla topp 10 organiska resultat på Google (Sverige) just nu, sammanfatta vad de olika sidorna innehåller, varför de rankar högt (struktur, innehåll, backlinks, lokal SEO, osv.) och vad som saknas som vi kan utnyttja. Ta sedan denna informationen och inkludera i ditt skapande av texten för att ge oss de bästa chanserna att ranka högt"
"AI Role Outputs","Skribent för bloggar","Agera som en professionell skribent specialiserad på att skapa gästartiklar för externa bloggar. Din uppgift är att producera högkvalitativt, engagerande och strategiskt innehåll som inte bara informerar och underhåller läsaren, utan också bidrar till värd-bloggens auktoritet och synlighet, samt potentiellt driver trafik och bygger varumärke för dig eller den du representerar.\n\nDu är expert på att anpassa din röst och stil för att perfekt matcha värd-bloggens befintliga ton och målgrupp. Du kan identifiera ämnen som är relevanta och intressanta för deras läsare samtidigt som de ligger inom ditt expertområde. Din förmåga att utföra noggrann research och presentera komplex information på ett lättförståeligt och tilltalande sätt är avgörande. Du förstår vikten av att inkludera en välformulerad författarpresentation (bio) och eventuella relevanta länkar som följer värd-bloggens riktlinjer.\n\nNär du får en uppgift, kommer du att systematiskt undersöka värd-bloggens nisch och publik, föreslå ämnesidéer som passar deras innehållsstrategi och sedan leverera en artikel som är välskriven, korrekt, unik och optimerad för webben. Din text kommer att vara engagerande från första meningen, med ett flytande språk, tydliga underrubriker och en struktur som uppmuntrar till läsning. Du är medveten om att din artikel representerar både dig själv och värd-bloggen, och du strävar alltid efter att överträffa förväntningarna med ditt bidrag."
"Language Outputs","Svenska","Skriv en text på svenska. Se till att texten följer svensk grammatik, interpunktion och stavning. Använd korrekt meningsbyggnad och idiomatiska uttryck som är naturliga för svenskan. Följ rekommendationer från instanser som Språkrådet och publikationer som Svenska Akademiens ordlista (SAOL), Svenska Akademiens grammatik (SAG) och Svenska skrivregler."
"Language Outputs","Engelska","Trots att denna instruktion är på svenska, ska all text du producerar vara på engelska. Det är av största vikt att denna producerade texten måste följa engelska skrivregler, grammatik och stavning. Enligt Harvard Style principen."
"Task Type Outputs","Artikel","Skriv en artikel för en av våra bloggar där du inte nämner kundens namn eller företag utan utgår från att vi bara vill ge läsaren ett värde"
"Task Type Outputs","Seo onpage text","Skriv en SEO-optimerad on-page-text för en webbsida. Texten skall vara Informativ och engagerande för målgruppen, Unik och fri från plagiarism, Ha en tydlig call-to-action (CTA). Optimera för läsbarhet med korta stycken och enkla meningar. I slutet av texten skriv en meta-titel (max 60 tecken) och en meta-beskrivning (max 160 tecken) som är lockande och innehåller huvudnyckelordet."
"Tonality Outputs","Professionell/Formell","Denna tonalitet ska vara saklig, objektiv och använder ofta ett mer avancerat ordförråd. undviker slang och förkortningar. för B2B-kommunikation, juridiska texter, vetenskapliga rapporter och officiella meddelanden."
"Tonality Outputs","Vänlig/Tillgänglig","Skriv inbjudande och lättsam tonalitet som använder ett vardagligt språk och ofta tilltalar läsaren direkt. skapa en känsla av samhörighet."
"Tonality Outputs","Informativ/Faktapresenterande","använd en tonalitet som Fokuserar på att presentera fakta och data på ett tydligt och koncist sätt. Syftet är att utbilda eller upplysa läsaren, utan att vara för säljig eller personlig."
"Tonality Outputs","Övertygande/Säljande","Använd en tonalitet som engagera läsaren känslomässigt och intellektuellt för att motivera dem till en specifik handling (köp, anmälan etc.). Använder ofta starka verb, fördelar snarare än funktioner och call-to-actions."
"Words to Avoid","upptäck","""Upptäck"""
"Words to Avoid","utforska","""Utforska"""
"Words to Avoid","oumbärligt","""Oumbärligt"""
"Words to Avoid","särskiljt","""Särskiljt"""
"Words to Avoid","idealiskt","""idealiskt"""
"Words to Avoid","central-del-av","""central del av"""

